title,director,id
Pinocchio,Ben Sharpsteen,1
Pinocchio,Hamilton Luske,1
Pinocchio,Bill Roberts,1
Pinocchio,Norman Ferguson,1
Pinocchio,Jack Kinney,1
Pinocchio,Wilfred Jackson,1
Pinocchio,T. Hee,1
Fantasia,Samuel Armstrong,2
Fantasia,James Algar,2
Fantasia,Bill Roberts,2
Fantasia,Paul Satterfield,2
Fantasia,Ben Sharpsteen,2
Fantasia,David D. Hand,2
Fantasia,Hamilton Luske,2
Fantasia,Jim Handley,2
Fantasia,Ford Beebe,2
Fantasia,T. Hee,2
Fantasia,Norman Ferguson,2
Fantasia,Wilfred Jackson,2
Song of the South,Live action,3
Song of the South,Harve Foster,3
Song of the South,Animation,3
Song of the South,Wilfred Jackson,3
Cinderella,Clyde Geronimi,4
Cinderella,Hamilton Luske,4
Cinderella,Wilfred Jackson,4
Alice in Wonderland,Clyde Geronimi,5
Alice in Wonderland,Wilfred Jackson,5
Alice in Wonderland,Hamilton Luske,5
"20,000 Leagues Under the Sea",Richard Fleischer,6
Lady and the Tramp,Clyde Geronimi,7
Lady and the Tramp,Wilfred Jackson,7
Lady and the Tramp,Hamilton Luske,7
Sleeping Beauty,Clyde Geronimi  supervising,8
Sleeping Beauty,Eric Larson,8
Sleeping Beauty,Wolfgang Reitherman,8
Sleeping Beauty,Les Clark,8
The Shaggy Dog,Charles Barton,9
Babes in Toyland,Jack Donohue,10
The Sword in the Stone,Wolfgang Reitherman,11
The Jungle Book,Wolfgang Reitherman,12
The Aristocats,Wolfgang Reitherman,13
Bedknobs and Broomsticks,Robert Stevenson,14
Freaky Friday,Gary Nelson,15
The Rescuers,Wolfgang Reitherman,16
The Rescuers,John Lounsbery,16
The Rescuers,Art Stevens,16
The Fox and the Hound,Ted Berman,17
The Fox and the Hound,Richard Rich,17
The Fox and the Hound,Art Stevens,17
Tex,Tim Hunter,18
Return to Oz,Walter Murch,19
The Black Cauldron,Ted Berman,20
The Black Cauldron,Richard Rich,20
The Great Mouse Detective,Ron Clements,21
The Great Mouse Detective,Burny Mattinson,21
The Great Mouse Detective,Dave Michener,21
The Great Mouse Detective,John Musker,21
Flight of the Navigator,Randal Kleiser,22
Oliver   Company,George Scribner,23
"Honey, I Shrunk the Kids",Joe Johnston,24
White Fang,Randal Kleiser,25
The Rocketeer,Joe Johnston,26
Beauty and the Beast,Gary Trousdale,27
Beauty and the Beast,Kirk Wise,27
The Mighty Ducks,Stephen Herek,28
Aladdin,John Musker,29
Aladdin,Ron Clements,29
The Muppet Christmas Carol,Brian Henson,30
Cool Runnings,Jon Turteltaub,31
The Three Musketeers,Stephen Herek,32
Blank Check,Rupert Wainwright,33
The Lion King,Roger Allers,34
The Lion King,Rob Minkoff,34
Angels in the Outfield,William Dear,35
The Santa Clause,John Pasquin,36
Man of the House,James Orr,37
Pocahontas,Mike Gabriel,38
Pocahontas,Eric Goldberg,38
Operation Dumbo Drop,Simon Wincer,39
A Kid in King Arthur's Court,Michael Gottlieb,40
Toy Story,John Lasseter,41
Muppet Treasure Island,Brian Henson,42
James and the Giant Peach,Henry Selick,43
The Hunchback of Notre Dame,Gary Trousdale,44
The Hunchback of Notre Dame,Kirk Wise,44
First Kid,David M. Evans,45
101 Dalmatians,Stephen Herek,46
Jungle 2 Jungle,John Pasquin,47
Hercules,Ron Clements,48
Hercules,John Musker,48
Flubber,Les Mayfield,49
Mr. Magoo,Stanley Tong,50
Mulan,Barry Cook,51
Mulan,Tony Bancroft,51
A Bug's Life,John Lasseter,52
Mighty Joe Young,Ron Underwood,53
My Favorite Martian,Donald Petrie,54
Tarzan,Kevin Lima,55
Tarzan,Chris Buck,55
Inspector Gadget,David Kellogg,56
Toy Story 2,John Lasseter,57
The Tigger Movie,Jun Falkenstein,58
Dinosaur,Ralph Zondag,59
Dinosaur,Eric Leighton,59
102 Dalmatians,Kevin Lima,60
The Emperor's New Groove,Mark Dindal,61
Recess  School's Out,Chuck Sheetz,62
Atlantis  The Lost Empire,Gary Trousdale,63
Atlantis  The Lost Empire,Kirk Wise,63
The Princess Diaries,Garry Marshall,64
Max Keeble's Big Move,Tim Hill,65
"Monsters, Inc.",Pete Docter,66
Snow Dogs,Brian Levant,67
The Rookie,John Lee Hancock,68
Lilo   Stitch,Chris Sanders,69
Lilo   Stitch,Dean DeBlois,69
The Country Bears,Peter Hastings,70
Tuck Everlasting,Jay Russell,71
The Santa Clause 2,Michael Lembeck,72
Treasure Planet,Ron Clements,73
Treasure Planet,John Musker,73
The Jungle Book 2,Steve Trenbirth,74
Piglet's Big Movie,Francis Glebas,75
Ghosts of the Abyss,James Cameron,76
Holes,Andrew Davis,77
The Lizzie McGuire Movie,Jim Fall,78
Finding Nemo,Andrew Stanton,79
Brother Bear,Aaron Blaise,80
Brother Bear,Robert Walker,80
The Haunted Mansion,Rob Minkoff,81
Miracle,Gavin OConnor,82
Confessions of a Teenage Drama Queen,Sara Sugarman,83
Home on the Range,Will Finn,84
Home on the Range,John Sanford,84
Around the World in 80 Days,Frank Coraci,85
The Princess Diaries 2  Royal Engagement,Garry Marshall,86
National Treasure,Jon Turteltaub,87
Pooh's Heffalump Movie,Frank Nissen,88
The Pacifier,Adam Shankman,89
Ice Princess,Tim Fywell,90
Herbie  Fully Loaded,Angela Robinson,91
Sky High,Mike Mitchell,92
Valiant,Gary Chapman,93
The Greatest Game Ever Played,Bill Paxton,94
Chicken Little,Mark Dindal,95
Roving Mars,George Butler,96
Eight Below,Frank Marshall,97
The Wild,Steve  Spaz  Williams,98
Cars,John Lasseter,99
Invincible,Ericson Core,100
The Nightmare Before Christmas,Henry Selick,101
The Santa Clause 3  The Escape Clause,Michael Lembeck,102
Bridge to Terabithia,Gábor Csupó,103
Ratatouille,Brad Bird,104
Underdog,Frederik Du Chau,105
The Game Plan,Andy Fickman,106
Enchanted,Kevin Lima,107
College Road Trip,Roger Kumble,108
The Chronicles of Narnia  Prince Caspian,Andrew Adamson,109
WALL-E,Andrew Stanton,110
Beverly Hills Chihuahua,Raja Gosnell,111
Bolt,Chris Williams,112
Bolt,Byron Howard,112
Bedtime Stories,Adam Shankman,113
Race to Witch Mountain,Andy Fickman,114
Earth,Alastair Fothergill,115
Earth,Mark Linfield,115
Up,Pete Docter,116
G-Force,Hoyt H. Yeatman Jr.,117
Old Dogs,Walt Becker,118
The Princess and the Frog,Ron Clements,119
The Princess and the Frog,John Musker,119
Oceans,Jacques Perrin,120
Oceans,Jacques Cluzaud,120
Oceans,co-director,120
Toy Story 3,Lee Unkrich,121
The Sorcerer's Apprentice,Jon Turteltaub,122
Secretariat,Randall Wallace,123
Tangled,Nathan Greno,124
Tangled,Byron Howard,124
Tron  Legacy,Joseph Kosinski,125
Mars Needs Moms,Simon Wells,126
African Cats,Alastair Fothergill,127
African Cats,Keith Scholey,127
Prom,Joe Nussbaum,128
Cars 2,John Lasseter,129
Winnie the Pooh,Stephen J. Anderson,130
Winnie the Pooh,Don Hall,130
The Muppets,James Bobin,131
John Carter,Andrew Stanton,132
Chimpanzee,Alastair Fothergill,133
Chimpanzee,Mark Linfield,133
Brave,Mark Andrews,134
Brave,Brenda Chapman,134
The Odd Life of Timothy Green,Peter Hedges,135
Frankenweenie,Tim Burton,136
Wreck-It Ralph,Rich Moore,137
Oz the Great and Powerful,Sam Raimi,138
Monsters University,Dan Scanlon,139
The Lone Ranger,Gore Verbinski,140
Frozen,Chris Buck,141
Frozen,Jennifer Lee,141
Saving Mr. Banks,John Lee Hancock,142
Muppets Most Wanted,James Bobin,143
Bears,Alastair Fothergill,144
Bears,Keith Scholey,144
Million Dollar Arm,Craig Gillespie,145
Maleficent,Robert Stromberg,146
Big Hero 6,Don Hall,147
Big Hero 6,Chris Williams,147
Into the Woods,Rob Marshall,148
"McFarland, USA",Niki Caro,149
Monkey Kingdom,Mark Linfield,150
Monkey Kingdom,Alastair Fothergill,150
Tomorrowland,Brad Bird,151
Inside Out,Pete Docter,152
The Good Dinosaur,Peter Sohn,153
The Finest Hours,Craig Gillespie,154
Zootopia,Byron Howard,155
Zootopia,Rich Moore,155
Alice Through the Looking Glass,James Bobin,156
Finding Dory,Andrew Stanton,157
The BFG,Steven Spielberg,158
Queen of Katwe,Mira Nair,159
Moana,Ron Clements,160
Moana,John Musker,160
